categoria,vendedor_link,especificacoes,vendedor,fabricante,preco,modelo,local
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Kit Dual Channel G.SKILL Ripjaws Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666), Timing 9-9-9-24-2N, Cas Latency 9, Voltage 1.5V
          ,
          ,
          ,

         ","Lacosta Informática,
         2220-6503",G-Skill,"
			R$ 280,00
         ","
         F3-10666CL9D-8GBRL - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Memória G.Skill Ripjaws X Series 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop
          ,
          ,
          ,

         ","Lacosta Informática,
         2220-6503",G-Skill,"
			R$ 280,00
         ","
         F3-10666CL9S-8GBXL - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=767eeb515cc80e0dfb33c329170a4ab0,"Kit Dual Channel G.SKILL AEGIS 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop 
          ,
          ,
          ,

         ","Lacosta Informática,
         2220-6503",G-Skill,"
			R$ 280,00
         ","
         F3-1333C9D-8GIS - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=58d784cf2e2e58b376ee505ee3a548f5,"Processador Intel Core i7 4770 (Haswell) 3.4GHz (3.8GHz Turbo) LGA 1150 84W Quad-Core, 22 nm 
          ,
          ,
          ,

         ","DeV Informática,
         (21) 2240-3855",Intel,"
			R$ 883,00
         ","
         Core i7-4770 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=bc0820de2ff782a40aa17a4acdce4c17,"Processador Intel Core i7 4770 (Haswell) 3.4GHz (3.8GHz Turbo) LGA 1150 84W Quad-Core, 22 nm 
          ,
          ,
          ,

         ","CNTech,
         (21)2220-6688",Intel,"
			R$ 883,00
         ","
         Core i7-4770 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=b6c907ddb459271c556ff76218eb695a,"Processador Intel Core i7 4770 (Haswell) 3.4GHz (3.8GHz Turbo) LGA 1150 84W Quad-Core, 22 nm 
          ,
          ,
          ,

         ","Gigateck,
         (21) 3527-4076",Intel,"
			R$ 884,90
         ","
         Core i7-4770 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=104507a7e9900eacc32a3d6dd5f7d02a,"Processador Intel Core i7 4770 (Haswell) 3.4GHz (3.8GHz Turbo) LGA 1150 84W Quad-Core, 22 nm 
          ,
          ,
          ,

         ","FS Brothers Av Central,
         (21)2210-7449",Intel,"
			R$ 884,90
         ","
         Core i7-4770 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=cb4eefcf5f88cf3ac023912645185025,"Processador Intel Core i7 4770 (Haswell) 3.4GHz (3.8GHz Turbo) LGA 1150 84W Quad-Core, 22 nm 
          ,
          ,
          ,

         ","QueroPreço,
         (21)2217-4310 ",Intel,"
			R$ 885,00
         ","
         Core i7-4770 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=cd55987ffa34705832df5c09ecacd151,"Processador Intel Core i7 4770 (Haswell) 3.4GHz (3.8GHz Turbo) LGA 1150 84W Quad-Core, 22 nm 
          ,
          ,
          ,

         ","Cyber Info,
         (21) 2618-0280",Intel,"
			R$ 899,90
         ","
         Core i7-4770,
          , 

         ,
,
         ,
         ","Niterói / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=f3f0285b943412738194d4e640a8a8a4,"Processador Intel Core i7 4770 (Haswell) 3.4GHz (3.8GHz Turbo) LGA 1150 84W Quad-Core, 22 nm 
          ,
          ,
          ,

         ","Brasil Connect,
         (21) 2613-0015",Intel,"
			R$ 899,99
         ","
         Core i7-4770 - BOX,
          , 

         ,
,
         ,
         ","Niterói / RJ,Centro"
Processadores,http://www.boadica.com.br/detalhevendedor.asp?codigo=4dadc27118bb5af12c534d98c6fafdc4,"Processador Intel Core i7 4770 (Haswell) 3.4GHz (3.8GHz Turbo) LGA 1150 84W Quad-Core, 22 nm 
          ,
          ,
          ,

         ","Br Brasil,
         (21) 2717-2646",Intel,"
			R$ 899,99
         ","
         Core i7-4770 - BOX,
          , 

         ,
,
         ,
         ","Niterói / RJ,Centro"
Placas de vídeo/Edição,http://www.boadica.com.br/detalhevendedor.asp?codigo=2f0c12b1d2d15b5288875750e1e99e30,"NVIDIA GeForce GTX 660 2GB GDDR5, Boost Clock: 993/1059 MHz, Memory Clock: 6008 MHz, Memory Interface: 192-bit, Bus: PCI-Express 3.0 x16, Max Resolution: 2560 x 1600, Connectors: 2x DVI, 1x HDMI e 1x DisplayPort 1.2.
          ,
          ,
          ,

         ","Sintaxe,
         (21) 2404-8461",EVGA,"
			R$ 790,00
         ","
         02G-P4-2660-KR - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Campo Grande"
Placas de vídeo/Edição,http://www.boadica.com.br/detalhevendedor.asp?codigo=58d784cf2e2e58b376ee505ee3a548f5,"NVIDIA GeForce GTX 660 SC Signature 2 2GB GDDR5, Boost Clock: 1111MHz, Memory Bandwidth: 144.19 GB/s, Memory Clock: 6008 MHz, Memory Interface: 192-bit, Bus: PCI-Express 3.0 x16, Max Resolution: 2560 x 1600, Connectors: 2x DVI, 1x HDMI e 1x DisplayPort 1.2.
          ,
          ,
          ,

         ","DeV Informática,
         (21) 2240-3855",EVGA,"
			R$ 790,00
         ","
         02G-P4-2661-KR - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Placas de vídeo/Edição,http://www.boadica.com.br/detalhevendedor.asp?codigo=8f0379589b782af811eec591d38b5e33,"NVIDIA GeForce GTX 760 2GB GDDR5, Superclocked: 1072 MHz, Memory Clock: 6008 MHz Effective, Memory Interface: 256-bit, Memory Bandwidth: 192.2 GB/s, Express 3.0 x16, CUDA Cores: 1152, RAMDAC: 400 MHz, Max Resolution: 4096 x 2160, Connectors: DVI-I, DVI-D, HDMI, Display-Port.
          ,
          ,
          ,

         ","Vegas,
         (21) 3549-0223",EVGA,"
			R$ 842,00
         ","
         02G-P4-2762-KR - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
